IN_LINK_ID,OUT_LINK_ID,DAY,TIME_OF_DAY,TURN_RATIO
782790509,-24017890,09-Apr-2015,22:05:00,0.10541
782790509,-24017890,09-Apr-2015,22:10:00,0.10344
782790509,-24017890,09-Apr-2015,22:15:00,0.10058
782790509,-24017890,09-Apr-2015,22:20:00,0.10128
782790509,-24017890,09-Apr-2015,22:25:00,0.10149
782790509,-24017890,09-Apr-2015,22:30:00,0.10118
782790509,-24017890,09-Apr-2015,22:35:00,0.10134
782790509,-24017890,09-Apr-2015,22:40:00,0.10159
782790509,-24017890,09-Apr-2015,22:45:00,0.1012
782790509,-24017890,09-Apr-2015,22:50:00,0.10596
782790509,-24017890,09-Apr-2015,22:55:00,0.10474
782790509,-24017890,09-Apr-2015,23:00:00,0.10259
782790509,-24017890,09-Apr-2015,23:05:00,0.10764
782790509,-24017890,09-Apr-2015,23:10:00,0.11288
782790509,-24017890,09-Apr-2015,23:15:00,0.09764
782790509,-24017890,09-Apr-2015,23:20:00,0.09663
782790509,-24017890,09-Apr-2015,23:25:00,0.09542
782790509,-24017890,09-Apr-2015,23:30:00,0.09291
782790509,-24017890,09-Apr-2015,23:35:00,0.08754
782790509,-24017890,09-Apr-2015,23:40:00,0.08769
782790509,-24017890,09-Apr-2015,23:45:00,0.07999
782790509,-24017890,09-Apr-2015,23:50:00,0.07933
782790509,-24017890,09-Apr-2015,23:55:00,0.07722
782790509,28426365,09-Apr-2015,00:00:00,0.92755
782790509,28426365,09-Apr-2015,00:05:00,0.92004
782790509,28426365,09-Apr-2015,00:10:00,0.91907
782790509,28426365,09-Apr-2015,00:15:00,0.92051
782790509,28426365,09-Apr-2015,00:20:00,0.92449
782790509,28426365,09-Apr-2015,00:25:00,0.9276
782790509,28426365,09-Apr-2015,00:30:00,0.92051
782790509,28426365,09-Apr-2015,00:35:00,0.92058
782790509,28426365,09-Apr-2015,00:40:00,0.92696
782790509,28426365,09-Apr-2015,00:45:00,0.92876
782790509,28426365,09-Apr-2015,00:50:00,0.93114
